DHB,Dose1,Dose2,Population,Date
Northland,42330,38844,50488,2022-01-11
Waitemata,37095,35462,41113,2022-01-11
Auckland,25845,24645,27792,2022-01-11
Counties Manukau,55786,52168,63493,2022-01-11
Waikato,61511,57128,69707,2022-01-11
Lakes,26144,24104,30085,2022-01-11
Bay of Plenty,40480,37179,47734,2022-01-11
Tairawhiti,17496,16142,19839,2022-01-11
Taranaki,13929,12926,15904,2022-01-11
Hawkes Bay,29957,27531,34059,2022-01-11
MidCentral,22174,20565,24225,2022-01-11
Whanganui,11431,10580,13512,2022-01-11
Capital and Coast,25221,24196,26967,2022-01-11
Hutt Valley,17463,16436,19123,2022-01-11
Wairarapa,5741,5361,6302,2022-01-11
Nelson Marlborough,9971,9302,11248,2022-01-11
West Coast,2422,2268,2765,2022-01-11
Canterbury,34331,32465,36969,2022-01-11
South Canterbury,3039,2825,3428,2022-01-11
Southern,21501,20404,23646,2022-01-11
Overseas / Unknown,316,276,2653,2022-01-11
New Zealand,504183,470807,571052,2022-01-11
All DHBs to 90%,NA,NA,NA,2022-01-11
