DHB,Dose1,Dose2,Population,Date
Northland,42682,39559,50488,2022-01-19
Waitemata,37284,35788,41113,2022-01-19
Auckland,25948,24873,27792,2022-01-19
Counties Manukau,56198,52977,63493,2022-01-19
Waikato,62020,58066,69707,2022-01-19
Lakes,26368,24518,30085,2022-01-19
Bay of Plenty,40832,37851,47734,2022-01-19
Tairawhiti,17599,16439,19839,2022-01-19
Taranaki,14046,13137,15904,2022-01-19
Hawkes Bay,30202,28075,34059,2022-01-19
MidCentral,22365,21007,24225,2022-01-19
Whanganui,11518,10788,13512,2022-01-19
Capital and Coast,25384,24464,26967,2022-01-19
Hutt Valley,17595,16694,19123,2022-01-19
Wairarapa,5776,5464,6302,2022-01-19
Nelson Marlborough,10040,9465,11248,2022-01-19
West Coast,2445,2306,2765,2022-01-19
Canterbury,34545,32981,36969,2022-01-19
South Canterbury,3067,2883,3428,2022-01-19
Southern,21624,20696,23646,2022-01-19
Overseas / Unknown,324,287,2653,2022-01-19
New Zealand,507862,478318,571052,2022-01-19
All DHBs to 90%,NA,NA,NA,2022-01-19
