DHB,Dose1,Dose2,Population,Date
Northland,41750,36927,50488,2021-12-20
Waitemata,36777,34420,41113,2021-12-20
Auckland,25594,23895,27792,2021-12-20
Counties Manukau,55097,50087,63493,2021-12-20
Waikato,60652,54128,69707,2021-12-20
Lakes,25766,22568,30085,2021-12-20
Bay of Plenty,39733,34593,47734,2021-12-20
Tairawhiti,17195,15243,19839,2021-12-20
Taranaki,13635,12027,15904,2021-12-20
Hawkes Bay,29375,25655,34059,2021-12-20
MidCentral,21867,19258,24225,2021-12-20
Whanganui,11242,9880,13512,2021-12-20
Capital and Coast,24936,23116,26967,2021-12-20
Hutt Valley,17259,15514,19123,2021-12-20
Wairarapa,5668,5057,6302,2021-12-20
Nelson Marlborough,9804,8614,11248,2021-12-20
West Coast,2385,2140,2765,2021-12-20
Canterbury,33861,30734,36969,2021-12-20
South Canterbury,2987,2657,3428,2021-12-20
Southern,21239,19362,23646,2021-12-20
Overseas / Unknown,315,265,2653,2021-12-20
New Zealand,497137,446140,571052,2021-12-20
All DHBs to 90%,NA,NA,NA,2021-12-20
