DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43696,41354,15479,27512,50488,2022-02-25
Waitemata,37841,36744,15057,26307,41113,2022-02-25
Auckland,26367,25613,11587,19200,27792,2022-02-25
Counties Manukau,57225,54925,19549,37147,63493,2022-02-25
Waikato,63518,60692,21749,40273,69707,2022-02-25
Lakes,27035,25726,9383,16387,30085,2022-02-25
Bay of Plenty,41863,39753,14273,25286,47734,2022-02-25
Tairawhiti,17980,17149,6747,11141,19839,2022-02-25
Taranaki,14442,13821,4710,8705,15904,2022-02-25
Hawkes Bay,30989,29545,10891,18436,34059,2022-02-25
MidCentral,22888,21953,8570,14074,24225,2022-02-25
Whanganui,11813,11302,4611,7371,13512,2022-02-25
Capital and Coast,25792,25160,12106,18080,26967,2022-02-25
Hutt Valley,17949,17359,7391,11640,19123,2022-02-25
Wairarapa,5890,5629,2177,3559,6302,2022-02-25
Nelson Marlborough,10246,9849,4109,6294,11248,2022-02-25
West Coast,2497,2407,998,1618,2765,2022-02-25
Canterbury,35317,34282,14369,22762,36969,2022-02-25
South Canterbury,3163,3042,1214,1945,3428,2022-02-25
Southern,22043,21378,9397,14688,23646,2022-02-25
Overseas / Unknown,345,325,103,218,2653,2022-02-25
New Zealand,518899,498008,194470,332643,571052,2022-02-25
