DHB,Dose1,Dose2,Population,Date
Northland,40229,33651,50488,2021-12-04
Waitemata,36024,32347,41113,2021-12-04
Auckland,25051,22585,27792,2021-12-04
Counties Manukau,53604,46283,63493,2021-12-04
Waikato,58631,49477,69707,2021-12-04
Lakes,24705,20002,30085,2021-12-04
Bay of Plenty,38136,30691,47734,2021-12-04
Tairawhiti,16453,13628,19839,2021-12-04
Taranaki,13085,10892,15904,2021-12-04
Hawkes Bay,28116,22975,34059,2021-12-04
MidCentral,21040,17256,24225,2021-12-04
Whanganui,10764,8904,13512,2021-12-04
Capital and Coast,24342,21564,26967,2021-12-04
Hutt Valley,16628,14139,19123,2021-12-04
Wairarapa,5514,4466,6302,2021-12-04
Nelson Marlborough,9417,7863,11248,2021-12-04
West Coast,2301,1997,2765,2021-12-04
Canterbury,32853,28446,36969,2021-12-04
South Canterbury,2866,2431,3428,2021-12-04
Southern,20592,17978,23646,2021-12-04
Overseas / Unknown,303,234,2653,2021-12-04
New Zealand,480654,407809,571052,2021-12-04
All DHBs to 90%,NA,NA,NA,2021-12-04
