DHB,Dose1,Dose2,Population,Date
Northland,41893,37377,50488,2021-12-22
Waitemata,36833,34636,41113,2021-12-22
Auckland,25633,24017,27792,2021-12-22
Counties Manukau,55238,50478,63493,2021-12-22
Waikato,60815,54700,69707,2021-12-22
Lakes,25827,22851,30085,2021-12-22
Bay of Plenty,39845,35094,47734,2021-12-22
Tairawhiti,17244,15408,19839,2021-12-22
Taranaki,13678,12185,15904,2021-12-22
Hawkes Bay,29492,26035,34059,2021-12-22
MidCentral,21933,19516,24225,2021-12-22
Whanganui,11279,10019,13512,2021-12-22
Capital and Coast,24970,23321,26967,2021-12-22
Hutt Valley,17306,15730,19123,2021-12-22
Wairarapa,5678,5120,6302,2021-12-22
Nelson Marlborough,9838,8753,11248,2021-12-22
West Coast,2393,2165,2765,2021-12-22
Canterbury,33947,31063,36969,2021-12-22
South Canterbury,2997,2700,3428,2021-12-22
Southern,21290,19564,23646,2021-12-22
Overseas / Unknown,313,267,2653,2021-12-22
New Zealand,498442,450999,571052,2021-12-22
All DHBs to 90%,NA,NA,NA,2021-12-22
