DHB,Dose1,Dose2,Population,Date
Northland,33302,22928,50488,2021-10-27
Waitemata,32375,24358,41113,2021-10-27
Auckland,22650,17476,27792,2021-10-27
Counties Manukau,45584,32219,63493,2021-10-27
Waikato,49518,33736,69707,2021-10-27
Lakes,19128,13284,30085,2021-10-27
Bay of Plenty,30048,20489,47734,2021-10-27
Tairawhiti,13127,9568,19839,2021-10-27
Taranaki,10614,6865,15904,2021-10-27
Hawkes Bay,22274,15810,34059,2021-10-27
MidCentral,16902,12107,24225,2021-10-27
Whanganui,8639,6371,13512,2021-10-27
Capital and Coast,21286,16225,26967,2021-10-27
Hutt Valley,13701,9928,19123,2021-10-27
Wairarapa,4324,3033,6302,2021-10-27
Nelson Marlborough,7765,5851,11248,2021-10-27
West Coast,1943,1380,2765,2021-10-27
Canterbury,27254,18731,36969,2021-10-27
South Canterbury,2357,1747,3428,2021-10-27
Southern,17431,13355,23646,2021-10-27
Overseas / Unknown,181,132,2653,2021-10-27
Total,400403,285593,571052,2021-10-27
