DHB,Dose1,Dose2,Population,Date
Northland,35061,25653,50488,2021-11-05
Waitemata,33435,26809,41113,2021-11-05
Auckland,23326,19057,27792,2021-11-05
Counties Manukau,47854,36042,63493,2021-11-05
Waikato,52286,38499,69707,2021-11-05
Lakes,20322,14885,30085,2021-11-05
Bay of Plenty,31495,23170,47734,2021-11-05
Tairawhiti,13916,10419,19839,2021-11-05
Taranaki,11206,7904,15904,2021-11-05
Hawkes Bay,23551,17335,34059,2021-11-05
MidCentral,17791,13192,24225,2021-11-05
Whanganui,9085,7008,13512,2021-11-05
Capital and Coast,21896,17679,26967,2021-11-05
Hutt Valley,14319,11108,19123,2021-11-05
Wairarapa,4554,3338,6302,2021-11-05
Nelson Marlborough,8137,6264,11248,2021-11-05
West Coast,2062,1550,2765,2021-11-05
Canterbury,29373,21561,36969,2021-11-05
South Canterbury,2535,1930,3428,2021-11-05
Southern,18491,14526,23646,2021-11-05
Overseas / Unknown,190,139,2653,2021-11-05
Total,420885,318068,571052,2021-11-05
