DHB,Dose1,Dose2,Population,Date
Northland,41318,35824,50488,2021-12-14
Waitemata,36590,33778,41113,2021-12-14
Auckland,25450,23513,27792,2021-12-14
Counties Manukau,54623,48748,63493,2021-12-14
Waikato,60114,52533,69707,2021-12-14
Lakes,25529,21826,30085,2021-12-14
Bay of Plenty,39369,33221,47734,2021-12-14
Tairawhiti,17014,14724,19839,2021-12-14
Taranaki,13457,11660,15904,2021-12-14
Hawkes Bay,29064,24781,34059,2021-12-14
MidCentral,21660,18567,24225,2021-12-14
Whanganui,11146,9572,13512,2021-12-14
Capital and Coast,24815,22558,26967,2021-12-14
Hutt Valley,17089,15021,19123,2021-12-14
Wairarapa,5629,4881,6302,2021-12-14
Nelson Marlborough,9701,8332,11248,2021-12-14
West Coast,2360,2085,2765,2021-12-14
Canterbury,33613,30014,36969,2021-12-14
South Canterbury,2951,2587,3428,2021-12-14
Southern,21075,18875,23646,2021-12-14
Overseas / Unknown,306,251,2653,2021-12-14
New Zealand,492873,433351,571052,2021-12-14
All DHBs to 90%,NA,NA,NA,2021-12-14
