DHB,Dose1,Dose2,Population,Date
Northland,37823,29891,50488,2021-11-19
Waitemata,34770,29559,41113,2021-11-19
Auckland,24330,20912,27792,2021-11-19
Counties Manukau,50776,41237,63493,2021-11-19
Waikato,55210,43985,69707,2021-11-19
Lakes,22566,17567,30085,2021-11-19
Bay of Plenty,34434,26879,47734,2021-11-19
Tairawhiti,15253,12112,19839,2021-11-19
Taranaki,12201,9523,15904,2021-11-19
Hawkes Bay,25788,20084,34059,2021-11-19
MidCentral,19349,15252,24225,2021-11-19
Whanganui,9836,7902,13512,2021-11-19
Capital and Coast,22963,19580,26967,2021-11-19
Hutt Valley,15286,12555,19123,2021-11-19
Wairarapa,5140,3895,6302,2021-11-19
Nelson Marlborough,8609,6924,11248,2021-11-19
West Coast,2174,1765,2765,2021-11-19
Canterbury,30840,24516,36969,2021-11-19
South Canterbury,2663,2165,3428,2021-11-19
Southern,19377,16032,23646,2021-11-19
Overseas / Unknown,288,222,2653,2021-11-19
New Zealand,449676,362557,571052,2021-11-19
All DHBs to 90%,NA,NA,NA,2021-11-19
