DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43892,41808,18105,31262,50488,2022-03-16
Waitemata,38014,37028,16854,28849,41113,2022-03-16
Auckland,26468,25803,12940,20853,27792,2022-03-16
Counties Manukau,57478,55374,22429,41651,63493,2022-03-16
Waikato,63798,61245,24901,45676,69707,2022-03-16
Lakes,27188,26057,11035,19053,30085,2022-03-16
Bay of Plenty,42050,40157,16688,29216,47734,2022-03-16
Tairawhiti,18048,17284,7987,12799,19839,2022-03-16
Taranaki,14518,13985,5520,10085,15904,2022-03-16
Hawkes Bay,31123,29821,12713,21455,34059,2022-03-16
MidCentral,23008,22197,9908,16151,24225,2022-03-16
Whanganui,11874,11436,5234,8435,13512,2022-03-16
Capital and Coast,25872,25330,13780,20009,26967,2022-03-16
Hutt Valley,18008,17494,8441,13189,19123,2022-03-16
Wairarapa,5917,5692,2466,4204,6302,2022-03-16
Nelson Marlborough,10290,9932,4470,7182,11248,2022-03-16
West Coast,2504,2424,1123,1819,2765,2022-03-16
Canterbury,35500,34616,16610,26073,36969,2022-03-16
South Canterbury,3181,3079,1362,2218,3428,2022-03-16
Southern,22234,21614,10470,16454,23646,2022-03-16
Overseas / Unknown,339,323,119,228,2653,2022-03-16
New Zealand,521304,502699,223155,376861,571052,2022-03-16
