DHB,Dose1,Dose2,Population,Date
Northland,42856,39828,50488,2022-01-25
Waitemata,37423,35990,41113,2022-01-25
Auckland,26038,25016,27792,2022-01-25
Counties Manukau,56467,53385,63493,2022-01-25
Waikato,62328,58564,69707,2022-01-25
Lakes,26537,24776,30085,2022-01-25
Bay of Plenty,41067,38239,47734,2022-01-25
Tairawhiti,17679,16592,19839,2022-01-25
Taranaki,14153,13252,15904,2022-01-25
Hawkes Bay,30364,28315,34059,2022-01-25
MidCentral,22464,21199,24225,2022-01-25
Whanganui,11568,10881,13512,2022-01-25
Capital and Coast,25450,24568,26967,2022-01-25
Hutt Valley,17678,16815,19123,2022-01-25
Wairarapa,5794,5481,6302,2022-01-25
Nelson Marlborough,10100,9555,11248,2022-01-25
West Coast,2457,2326,2765,2022-01-25
Canterbury,34710,33225,36969,2022-01-25
South Canterbury,3087,2915,3428,2022-01-25
Southern,21706,20834,23646,2022-01-25
Overseas / Unknown,328,297,2653,2022-01-25
New Zealand,510254,482053,571052,2022-01-25
All DHBs to 90%,NA,NA,NA,2022-01-25
