DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43707,41380,15668,27510,50488,2022-02-26
Waitemata,37857,36775,15260,26316,41113,2022-02-26
Auckland,26363,25607,11748,19194,27792,2022-02-26
Counties Manukau,57254,54966,19945,37151,63493,2022-02-26
Waikato,63528,60714,21998,40271,69707,2022-02-26
Lakes,27040,25745,9492,16387,30085,2022-02-26
Bay of Plenty,41873,39778,14504,25288,47734,2022-02-26
Tairawhiti,17979,17147,6783,11140,19839,2022-02-26
Taranaki,14446,13828,4767,8705,15904,2022-02-26
Hawkes Bay,30995,29560,11005,18437,34059,2022-02-26
MidCentral,22889,21965,8706,14072,24225,2022-02-26
Whanganui,11817,11309,4647,7372,13512,2022-02-26
Capital and Coast,25793,25167,12284,18078,26967,2022-02-26
Hutt Valley,17952,17368,7482,11638,19123,2022-02-26
Wairarapa,5893,5633,2204,3559,6302,2022-02-26
Nelson Marlborough,10245,9852,4154,6293,11248,2022-02-26
West Coast,2499,2409,1003,1618,2765,2022-02-26
Canterbury,35334,34304,14644,22763,36969,2022-02-26
South Canterbury,3163,3043,1222,1945,3428,2022-02-26
Southern,22046,21386,9504,14688,23646,2022-02-26
Overseas / Unknown,349,329,105,219,2653,2022-02-26
New Zealand,519022,498265,197125,332644,571052,2022-02-26
