DHB,Dose1,Dose2,Population,Date
Northland,41680,36723,50488,2021-12-18
Waitemata,36733,34252,41113,2021-12-18
Auckland,25550,23809,27792,2021-12-18
Counties Manukau,54965,49619,63493,2021-12-18
Waikato,60559,53815,69707,2021-12-18
Lakes,25712,22439,30085,2021-12-18
Bay of Plenty,39668,34309,47734,2021-12-18
Tairawhiti,17128,15015,19839,2021-12-18
Taranaki,13603,11940,15904,2021-12-18
Hawkes Bay,29272,25391,34059,2021-12-18
MidCentral,21820,19138,24225,2021-12-18
Whanganui,11226,9817,13512,2021-12-18
Capital and Coast,24912,22993,26967,2021-12-18
Hutt Valley,17221,15380,19123,2021-12-18
Wairarapa,5657,5005,6302,2021-12-18
Nelson Marlborough,9788,8555,11248,2021-12-18
West Coast,2383,2140,2765,2021-12-18
Canterbury,33807,30567,36969,2021-12-18
South Canterbury,2983,2646,3428,2021-12-18
Southern,21202,19239,23646,2021-12-18
Overseas / Unknown,310,256,2653,2021-12-18
New Zealand,496179,443048,571052,2021-12-18
All DHBs to 90%,NA,NA,NA,2021-12-18
