DHB,Dose1,Dose2,Population,Date
Northland,42219,38569,50488,2022-01-09
Waitemata,37041,35325,41113,2022-01-09
Auckland,25792,24549,27792,2022-01-09
Counties Manukau,55625,51864,63493,2022-01-09
Waikato,61322,56730,69707,2022-01-09
Lakes,26077,23937,30085,2022-01-09
Bay of Plenty,40356,36942,47734,2022-01-09
Tairawhiti,17462,16057,19839,2022-01-09
Taranaki,13886,12845,15904,2022-01-09
Hawkes Bay,29885,27361,34059,2022-01-09
MidCentral,22120,20453,24225,2022-01-09
Whanganui,11408,10512,13512,2022-01-09
Capital and Coast,25135,24067,26967,2022-01-09
Hutt Valley,17432,16358,19123,2022-01-09
Wairarapa,5729,5332,6302,2022-01-09
Nelson Marlborough,9944,9234,11248,2022-01-09
West Coast,2417,2259,2765,2022-01-09
Canterbury,34250,32279,36969,2022-01-09
South Canterbury,3025,2805,3428,2022-01-09
Southern,21455,20287,23646,2022-01-09
Overseas / Unknown,321,279,2653,2022-01-09
New Zealand,502901,468044,571052,2022-01-09
All DHBs to 90%,NA,NA,NA,2022-01-09
