DHB,Dose1,Dose2,Population,Date
Northland,38247,30507,50488,2021-11-23
Waitemata,35051,30198,41113,2021-11-23
Auckland,24419,21188,27792,2021-11-23
Counties Manukau,51384,42455,63493,2021-11-23
Waikato,55757,44981,69707,2021-11-23
Lakes,22941,18130,30085,2021-11-23
Bay of Plenty,35204,27692,47734,2021-11-23
Tairawhiti,15566,12456,19839,2021-11-23
Taranaki,12342,9771,15904,2021-11-23
Hawkes Bay,26325,20693,34059,2021-11-23
MidCentral,19637,15660,24225,2021-11-23
Whanganui,10026,8099,13512,2021-11-23
Capital and Coast,23217,19970,26967,2021-11-23
Hutt Valley,15556,12917,19123,2021-11-23
Wairarapa,5241,3991,6302,2021-11-23
Nelson Marlborough,8739,7115,11248,2021-11-23
West Coast,2181,1800,2765,2021-11-23
Canterbury,31202,25388,36969,2021-11-23
South Canterbury,2693,2213,3428,2021-11-23
Southern,19608,16411,23646,2021-11-23
Overseas / Unknown,289,228,2653,2021-11-23
New Zealand,455625,371863,571052,2021-11-23
All DHBs to 90%,NA,NA,NA,2021-11-23
