DHB,Dose1,Dose2,Population,Date
Northland,38851,31529,50488,2021-11-27
Waitemata,35435,30951,41113,2021-11-27
Auckland,24652,21718,27792,2021-11-27
Counties Manukau,52166,43910,63493,2021-11-27
Waikato,56840,46614,69707,2021-11-27
Lakes,23526,18707,30085,2021-11-27
Bay of Plenty,36395,28739,47734,2021-11-27
Tairawhiti,15793,12774,19839,2021-11-27
Taranaki,12582,10162,15904,2021-11-27
Hawkes Bay,26813,21302,34059,2021-11-27
MidCentral,20119,16202,24225,2021-11-27
Whanganui,10265,8358,13512,2021-11-27
Capital and Coast,23573,20444,26967,2021-11-27
Hutt Valley,15918,13274,19123,2021-11-27
Wairarapa,5333,4146,6302,2021-11-27
Nelson Marlborough,8927,7320,11248,2021-11-27
West Coast,2220,1875,2765,2021-11-27
Canterbury,31691,26255,36969,2021-11-27
South Canterbury,2749,2288,3428,2021-11-27
Southern,19917,16914,23646,2021-11-27
Overseas / Unknown,294,233,2653,2021-11-27
New Zealand,464059,383715,571052,2021-11-27
All DHBs to 90%,NA,NA,NA,2021-11-27
