DHB,Dose1,Dose2,Population,Date
Northland,42746,39690,50488,2022-01-22
Waitemata,37350,35890,41113,2022-01-22
Auckland,25992,24949,27792,2022-01-22
Counties Manukau,56312,53176,63493,2022-01-22
Waikato,62179,58345,69707,2022-01-22
Lakes,26447,24646,30085,2022-01-22
Bay of Plenty,40945,38033,47734,2022-01-22
Tairawhiti,17633,16519,19839,2022-01-22
Taranaki,14096,13202,15904,2022-01-22
Hawkes Bay,30281,28183,34059,2022-01-22
MidCentral,22430,21120,24225,2022-01-22
Whanganui,11561,10849,13512,2022-01-22
Capital and Coast,25430,24527,26967,2022-01-22
Hutt Valley,17644,16767,19123,2022-01-22
Wairarapa,5788,5475,6302,2022-01-22
Nelson Marlborough,10059,9503,11248,2022-01-22
West Coast,2449,2316,2765,2022-01-22
Canterbury,34624,33139,36969,2022-01-22
South Canterbury,3076,2905,3428,2022-01-22
Southern,21671,20767,23646,2022-01-22
Overseas / Unknown,331,297,2653,2022-01-22
New Zealand,509044,480298,571052,2022-01-22
All DHBs to 90%,NA,NA,NA,2022-01-22
