DHB,Dose1,Dose2,Population,Date
Northland,37457,29356,50488,2021-11-17
Waitemata,34606,29151,41113,2021-11-17
Auckland,24180,20664,27792,2021-11-17
Counties Manukau,50409,40571,63493,2021-11-17
Waikato,54637,43112,69707,2021-11-17
Lakes,22254,17260,30085,2021-11-17
Bay of Plenty,33877,26259,47734,2021-11-17
Tairawhiti,15147,11886,19839,2021-11-17
Taranaki,12054,9264,15904,2021-11-17
Hawkes Bay,25535,19764,34059,2021-11-17
MidCentral,19014,14918,24225,2021-11-17
Whanganui,9677,7759,13512,2021-11-17
Capital and Coast,22791,19325,26967,2021-11-17
Hutt Valley,15128,12359,19123,2021-11-17
Wairarapa,5066,3815,6302,2021-11-17
Nelson Marlborough,8530,6833,11248,2021-11-17
West Coast,2154,1727,2765,2021-11-17
Canterbury,30582,23944,36969,2021-11-17
South Canterbury,2646,2117,3428,2021-11-17
Southern,19257,15795,23646,2021-11-17
Overseas / Unknown,282,220,2653,2021-11-17
New Zealand,445283,356099,571052,2021-11-17
All DHBs to 90%,NA,NA,NA,2021-11-17
