DHB,Dose1,Dose2,Population,Date
Northland,33775,23463,50488,2021-10-29
Waitemata,32680,25014,41113,2021-10-29
Auckland,22832,17908,27792,2021-10-29
Counties Manukau,46225,33223,63493,2021-10-29
Waikato,50331,35010,69707,2021-10-29
Lakes,19426,13709,30085,2021-10-29
Bay of Plenty,30459,21225,47734,2021-10-29
Tairawhiti,13349,9786,19839,2021-10-29
Taranaki,10802,7126,15904,2021-10-29
Hawkes Bay,22691,16274,34059,2021-10-29
MidCentral,17187,12404,24225,2021-10-29
Whanganui,8764,6557,13512,2021-10-29
Capital and Coast,21470,16630,26967,2021-10-29
Hutt Valley,13871,10234,19123,2021-10-29
Wairarapa,4394,3123,6302,2021-10-29
Nelson Marlborough,7876,5946,11248,2021-10-29
West Coast,1977,1428,2765,2021-10-29
Canterbury,28054,19563,36969,2021-10-29
South Canterbury,2424,1802,3428,2021-10-29
Southern,17763,13706,23646,2021-10-29
Overseas / Unknown,187,137,2653,2021-10-29
Total,406537,294268,571052,2021-10-29
