DHB,Dose1,Dose2,Population,Date
Northland,34349,24451,50488,2021-11-02
Waitemata,33172,26072,41113,2021-11-02
Auckland,23137,18621,27792,2021-11-02
Counties Manukau,47289,34944,63493,2021-11-02
Waikato,51441,36908,69707,2021-11-02
Lakes,20039,14447,30085,2021-11-02
Bay of Plenty,31019,22295,47734,2021-11-02
Tairawhiti,13701,10138,19839,2021-11-02
Taranaki,10992,7531,15904,2021-11-02
Hawkes Bay,23189,16840,34059,2021-11-02
MidCentral,17548,12847,24225,2021-11-02
Whanganui,8913,6729,13512,2021-11-02
Capital and Coast,21695,17179,26967,2021-11-02
Hutt Valley,14159,10708,19123,2021-11-02
Wairarapa,4477,3243,6302,2021-11-02
Nelson Marlborough,8027,6125,11248,2021-11-02
West Coast,2036,1504,2765,2021-11-02
Canterbury,28933,20719,36969,2021-11-02
South Canterbury,2495,1881,3428,2021-11-02
Southern,18171,14096,23646,2021-11-02
Overseas / Unknown,189,137,2653,2021-11-02
Total,414971,307415,571052,2021-11-02
