DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,43780,41804,18918,33479,50488,2022-04-11
Waitemata,37946,37023,17506,30198,41113,2022-04-11
Auckland,26551,25928,13506,21903,27792,2022-04-11
Counties Manukau,57319,55402,23316,44181,63493,2022-04-11
Waikato,63684,61327,25992,49159,69707,2022-04-11
Lakes,27117,26070,11511,20749,30085,2022-04-11
Bay of Plenty,41975,40215,17196,32119,47734,2022-04-11
Tairawhiti,18006,17315,8233,13901,19839,2022-04-11
Taranaki,14519,14032,5845,11028,15904,2022-04-11
Hawkes Bay,31019,29828,13140,23435,34059,2022-04-11
MidCentral,22976,22245,10268,17611,24225,2022-04-11
Whanganui,11836,11431,5398,9185,13512,2022-04-11
Capital and Coast,25842,25360,14210,21264,26967,2022-04-11
Hutt Valley,18022,17536,8727,14293,19123,2022-04-11
Wairarapa,5942,5733,2591,4585,6302,2022-04-11
Nelson Marlborough,10258,9928,4635,7886,11248,2022-04-11
West Coast,2499,2429,1186,1957,2765,2022-04-11
Canterbury,35533,34743,17345,27943,36969,2022-04-11
South Canterbury,3169,3076,1398,2377,3428,2022-04-11
Southern,22367,21812,10891,17702,23646,2022-04-11
Overseas / Unknown,319,303,124,238,2653,2022-04-11
New Zealand,520679,503540,231936,405193,571052,2022-04-11
