DHB,Dose1,Dose2,Population,Date
Northland,42056,38096,50488,2022-01-02
Waitemata,36917,35077,41113,2022-01-02
Auckland,25705,24334,27792,2022-01-02
Counties Manukau,55418,51354,63493,2022-01-02
Waikato,61073,55953,69707,2022-01-02
Lakes,25938,23530,30085,2022-01-02
Bay of Plenty,40077,36313,47734,2022-01-02
Tairawhiti,17321,15804,19839,2022-01-02
Taranaki,13785,12544,15904,2022-01-02
Hawkes Bay,29663,26834,34059,2022-01-02
MidCentral,22040,20183,24225,2022-01-02
Whanganui,11346,10338,13512,2022-01-02
Capital and Coast,25054,23819,26967,2022-01-02
Hutt Valley,17345,16096,19123,2022-01-02
Wairarapa,5708,5256,6302,2022-01-02
Nelson Marlborough,9887,9062,11248,2022-01-02
West Coast,2410,2220,2765,2022-01-02
Canterbury,34087,31861,36969,2022-01-02
South Canterbury,3010,2767,3428,2022-01-02
Southern,21377,20058,23646,2022-01-02
Overseas / Unknown,313,271,2653,2022-01-02
New Zealand,500530,461770,571052,2022-01-02
All DHBs to 90%,NA,NA,NA,2022-01-02
