DHB,Dose1,Dose2,Population,Date
Northland,40430,33994,50488,2021-12-06
Waitemata,36146,32630,41113,2021-12-06
Auckland,25116,22794,27792,2021-12-06
Counties Manukau,53754,46682,63493,2021-12-06
Waikato,58909,49925,69707,2021-12-06
Lakes,24987,20523,30085,2021-12-06
Bay of Plenty,38450,31171,47734,2021-12-06
Tairawhiti,16660,13956,19839,2021-12-06
Taranaki,13148,11035,15904,2021-12-06
Hawkes Bay,28416,23396,34059,2021-12-06
MidCentral,21169,17470,24225,2021-12-06
Whanganui,10862,9020,13512,2021-12-06
Capital and Coast,24450,21760,26967,2021-12-06
Hutt Valley,16719,14311,19123,2021-12-06
Wairarapa,5545,4563,6302,2021-12-06
Nelson Marlborough,9489,7936,11248,2021-12-06
West Coast,2303,2007,2765,2021-12-06
Canterbury,33025,28768,36969,2021-12-06
South Canterbury,2880,2460,3428,2021-12-06
Southern,20673,18133,23646,2021-12-06
Overseas / Unknown,307,241,2653,2021-12-06
New Zealand,483438,412775,571052,2021-12-06
All DHBs to 90%,NA,NA,NA,2021-12-06
