DHB,Dose1,Dose2,Population,Date
Northland,42520,39277,50488,2022-01-15
Waitemata,37206,35652,41113,2022-01-15
Auckland,25921,24786,27792,2022-01-15
Counties Manukau,55992,52674,63493,2022-01-15
Waikato,61796,57706,69707,2022-01-15
Lakes,26261,24350,30085,2022-01-15
Bay of Plenty,40669,37583,47734,2022-01-15
Tairawhiti,17549,16292,19839,2022-01-15
Taranaki,14002,13076,15904,2022-01-15
Hawkes Bay,30087,27861,34059,2022-01-15
MidCentral,22278,20850,24225,2022-01-15
Whanganui,11485,10712,13512,2022-01-15
Capital and Coast,25326,24376,26967,2022-01-15
Hutt Valley,17526,16594,19123,2022-01-15
Wairarapa,5754,5413,6302,2022-01-15
Nelson Marlborough,10014,9403,11248,2022-01-15
West Coast,2434,2288,2765,2022-01-15
Canterbury,34456,32803,36969,2022-01-15
South Canterbury,3058,2860,3428,2022-01-15
Southern,21562,20551,23646,2022-01-15
Overseas / Unknown,318,280,2653,2022-01-15
New Zealand,506214,475387,571052,2022-01-15
All DHBs to 90%,NA,NA,NA,2022-01-15
