DHB,Dose1,Dose2,Population,Date
Northland,33913,23698,50488,2021-10-31
Waitemata,32913,25533,41113,2021-10-31
Auckland,22972,18246,27792,2021-10-31
Counties Manukau,46733,34134,63493,2021-10-31
Waikato,50840,35994,69707,2021-10-31
Lakes,19783,14123,30085,2021-10-31
Bay of Plenty,30719,21719,47734,2021-10-31
Tairawhiti,13481,9925,19839,2021-10-31
Taranaki,10890,7294,15904,2021-10-31
Hawkes Bay,23020,16645,34059,2021-10-31
MidCentral,17370,12620,24225,2021-10-31
Whanganui,8819,6616,13512,2021-10-31
Capital and Coast,21563,16869,26967,2021-10-31
Hutt Valley,14047,10529,19123,2021-10-31
Wairarapa,4439,3193,6302,2021-10-31
Nelson Marlborough,7972,6057,11248,2021-10-31
West Coast,2020,1487,2765,2021-10-31
Canterbury,28580,20206,36969,2021-10-31
South Canterbury,2462,1831,3428,2021-10-31
Southern,17957,13852,23646,2021-10-31
Overseas / Unknown,190,138,2653,2021-10-31
Total,410683,300709,571052,2021-10-31
