DHB,Dose1,Dose2,Population,Date
Northland,2313,1636,2934,2021-10-23
Waitemata,31413,24108,37573,2021-10-23
Auckland,38606,30094,46866,2021-10-23
Counties Manukau,94469,73380,116498,2021-10-23
Waikato,8939,6838,10682,2021-10-23
Lakes,1777,1347,2286,2021-10-23
Bay of Plenty,3932,2873,3679,2021-10-23
Tairawhiti,844,637,965,2021-10-23
Taranaki,1015,732,1270,2021-10-23
Hawkes Bay,4953,3954,5020,2021-10-23
MidCentral,3669,2755,4468,2021-10-23
Whanganui,1015,788,1381,2021-10-23
Capital and Coast,15332,12003,19177,2021-10-23
Hutt Valley,7786,5940,9894,2021-10-23
Wairarapa,672,528,837,2021-10-23
Nelson Marlborough,3562,3074,2115,2021-10-23
West Coast,224,167,282,2021-10-23
Canterbury,10166,7406,12737,2021-10-23
South Canterbury,755,533,837,2021-10-23
Southern,5434,4232,6031,2021-10-23
Overseas / Unknown,336,286,1149,2021-10-23
Total,237212,183311,286681,2021-10-23
