DHB,Dose1,Dose2,Population,Date
Northland,2860,2749,2934,2022-01-22
Waitemata,35462,34424,37573,2022-01-22
Auckland,43666,42316,46866,2022-01-22
Counties Manukau,108337,104899,116498,2022-01-22
Waikato,10280,9966,10682,2022-01-22
Lakes,2159,2075,2286,2022-01-22
Bay of Plenty,4761,4577,3679,2022-01-22
Tairawhiti,1025,992,965,2022-01-22
Taranaki,1277,1231,1270,2022-01-22
Hawkes Bay,6539,6299,5020,2022-01-22
MidCentral,4431,4275,4468,2022-01-22
Whanganui,1215,1171,1381,2022-01-22
Capital and Coast,18205,17664,19177,2022-01-22
Hutt Valley,9391,9119,9894,2022-01-22
Wairarapa,862,836,837,2022-01-22
Nelson Marlborough,4426,4320,2115,2022-01-22
West Coast,284,275,282,2022-01-22
Canterbury,12527,12119,12737,2022-01-22
South Canterbury,975,944,837,2022-01-22
Southern,6593,6371,6031,2022-01-22
Overseas / Unknown,366,345,1149,2022-01-22
New Zealand,275641,266967,286681,2022-01-22
All DHBs to 90%,NA,NA,NA,2022-01-22
