DHB,Dose1,Dose2,Population,Date
Northland,2366,1740,2934,2021-10-30
Waitemata,32094,25974,37573,2021-10-30
Auckland,39554,32161,46866,2021-10-30
Counties Manukau,97005,78432,116498,2021-10-30
Waikato,9153,7268,10682,2021-10-30
Lakes,1818,1432,2286,2021-10-30
Bay of Plenty,4013,3109,3679,2021-10-30
Tairawhiti,869,673,965,2021-10-30
Taranaki,1054,795,1270,2021-10-30
Hawkes Bay,5113,4199,5020,2021-10-30
MidCentral,3777,2931,4468,2021-10-30
Whanganui,1046,832,1381,2021-10-30
Capital and Coast,15665,12613,19177,2021-10-30
Hutt Valley,7950,6318,9894,2021-10-30
Wairarapa,689,566,837,2021-10-30
Nelson Marlborough,3609,3165,2115,2021-10-30
West Coast,232,177,282,2021-10-30
Canterbury,10752,8103,12737,2021-10-30
South Canterbury,790,588,837,2021-10-30
Southern,5595,4516,6031,2021-10-30
Overseas / Unknown,337,293,1149,2021-10-30
Total,243481,195885,286681,2021-10-30
