DHB,Dose1,Dose2,Population,Date
Northland,2549,2119,2934,2021-11-16
Waitemata,33208,29145,37573,2021-11-16
Auckland,41035,36168,46866,2021-11-16
Counties Manukau,100925,87941,116498,2021-11-16
Waikato,9515,8230,10682,2021-11-16
Lakes,1953,1648,2286,2021-11-16
Bay of Plenty,4242,3608,3679,2021-11-16
Tairawhiti,926,781,965,2021-11-16
Taranaki,1136,930,1270,2021-11-16
Hawkes Bay,5409,4651,5020,2021-11-16
MidCentral,3977,3345,4468,2021-11-16
Whanganui,1112,944,1381,2021-11-16
Capital and Coast,16353,13927,19177,2021-11-16
Hutt Valley,8323,7210,9894,2021-11-16
Wairarapa,750,624,837,2021-11-16
Nelson Marlborough,3717,3358,2115,2021-11-16
West Coast,250,210,282,2021-11-16
Canterbury,11358,9252,12737,2021-11-16
South Canterbury,832,704,837,2021-11-16
Southern,5875,5004,6031,2021-11-16
Overseas / Unknown,387,356,1149,2021-11-16
New Zealand,253832,220155,286681,2021-11-16
All DHBs to 90%,NA,NA,NA,2021-11-16
