DHB,Dose1,Dose2,Population,Date
Northland,2746,2455,2934,2021-12-10
Waitemata,34477,32198,37573,2021-12-10
Auckland,42632,39727,46866,2021-12-10
Counties Manukau,105097,97451,116498,2021-12-10
Waikato,10024,9247,10682,2021-12-10
Lakes,2100,1901,2286,2021-12-10
Bay of Plenty,4633,4172,3679,2021-12-10
Tairawhiti,1000,900,965,2021-12-10
Taranaki,1241,1092,1270,2021-12-10
Hawkes Bay,5917,5326,5020,2021-12-10
MidCentral,4278,3863,4468,2021-12-10
Whanganui,1178,1066,1381,2021-12-10
Capital and Coast,17674,16122,19177,2021-12-10
Hutt Valley,9076,8186,9894,2021-12-10
Wairarapa,811,741,837,2021-12-10
Nelson Marlborough,3958,3703,2115,2021-12-10
West Coast,278,254,282,2021-12-10
Canterbury,12174,11095,12737,2021-12-10
South Canterbury,897,812,837,2021-12-10
Southern,6314,5784,6031,2021-12-10
Overseas / Unknown,371,343,1149,2021-12-10
New Zealand,266876,246438,286681,2021-12-10
All DHBs to 90%,NA,NA,NA,2021-12-10
