DHB,Dose1,Dose2,Population,Date
Northland,2646,2250,2934,2021-11-27
Waitemata,33813,30621,37573,2021-11-27
Auckland,41829,37932,46866,2021-11-27
Counties Manukau,103072,93000,116498,2021-11-27
Waikato,9739,8685,10682,2021-11-27
Lakes,2013,1750,2286,2021-11-27
Bay of Plenty,4449,3891,3679,2021-11-27
Tairawhiti,953,829,965,2021-11-27
Taranaki,1181,995,1270,2021-11-27
Hawkes Bay,5659,4948,5020,2021-11-27
MidCentral,4110,3560,4468,2021-11-27
Whanganui,1143,984,1381,2021-11-27
Capital and Coast,16960,14850,19177,2021-11-27
Hutt Valley,8659,7662,9894,2021-11-27
Wairarapa,788,677,837,2021-11-27
Nelson Marlborough,3769,3467,2115,2021-11-27
West Coast,266,225,282,2021-11-27
Canterbury,11685,10153,12737,2021-11-27
South Canterbury,849,743,837,2021-11-27
Southern,6062,5303,6031,2021-11-27
Overseas / Unknown,371,344,1149,2021-11-27
New Zealand,260016,232869,286681,2021-11-27
All DHBs to 90%,NA,NA,NA,2021-11-27
