DHB,Dose1,Dose2,Population,Date
Northland,2819,2589,2934,2021-12-20
Waitemata,34814,33038,37573,2021-12-20
Auckland,42971,40720,46866,2021-12-20
Counties Manukau,106281,100436,116498,2021-12-20
Waikato,10098,9506,10682,2021-12-20
Lakes,2115,1967,2286,2021-12-20
Bay of Plenty,4674,4355,3679,2021-12-20
Tairawhiti,1004,937,965,2021-12-20
Taranaki,1258,1151,1270,2021-12-20
Hawkes Bay,6113,5661,5020,2021-12-20
MidCentral,4331,4015,4468,2021-12-20
Whanganui,1188,1102,1381,2021-12-20
Capital and Coast,17856,16689,19177,2021-12-20
Hutt Valley,9184,8523,9894,2021-12-20
Wairarapa,818,775,837,2021-12-20
Nelson Marlborough,4104,3891,2115,2021-12-20
West Coast,280,260,282,2021-12-20
Canterbury,12286,11453,12737,2021-12-20
South Canterbury,949,871,837,2021-12-20
Southern,6413,6028,6031,2021-12-20
Overseas / Unknown,369,347,1149,2021-12-20
New Zealand,269925,254314,286681,2021-12-20
All DHBs to 90%,NA,NA,NA,2021-12-20
