DHB,Dose1,Dose2,Population,Date
Northland,2871,2770,2934,2022-01-30
Waitemata,35589,34650,37573,2022-01-30
Auckland,43818,42535,46866,2022-01-30
Counties Manukau,108848,105612,116498,2022-01-30
Waikato,10349,10029,10682,2022-01-30
Lakes,2166,2096,2286,2022-01-30
Bay of Plenty,4797,4632,3679,2022-01-30
Tairawhiti,1031,1001,965,2022-01-30
Taranaki,1282,1246,1270,2022-01-30
Hawkes Bay,6751,6515,5020,2022-01-30
MidCentral,4451,4306,4468,2022-01-30
Whanganui,1231,1183,1381,2022-01-30
Capital and Coast,18287,17803,19177,2022-01-30
Hutt Valley,9424,9170,9894,2022-01-30
Wairarapa,867,843,837,2022-01-30
Nelson Marlborough,4481,4397,2115,2022-01-30
West Coast,287,276,282,2022-01-30
Canterbury,12603,12222,12737,2022-01-30
South Canterbury,980,951,837,2022-01-30
Southern,6651,6453,6031,2022-01-30
Overseas / Unknown,381,360,1149,2022-01-30
New Zealand,277145,269050,286681,2022-01-30
All DHBs to 90%,NA,NA,NA,2022-01-30
