DHB,Dose1,Dose2,Population,Date
Northland,2369,1741,2934,2021-10-31
Waitemata,32147,26167,37573,2021-10-31
Auckland,39630,32370,46866,2021-10-31
Counties Manukau,97234,78976,116498,2021-10-31
Waikato,9163,7307,10682,2021-10-31
Lakes,1824,1445,2286,2021-10-31
Bay of Plenty,4026,3136,3679,2021-10-31
Tairawhiti,874,676,965,2021-10-31
Taranaki,1058,798,1270,2021-10-31
Hawkes Bay,5119,4212,5020,2021-10-31
MidCentral,3782,2945,4468,2021-10-31
Whanganui,1046,833,1381,2021-10-31
Capital and Coast,15678,12650,19177,2021-10-31
Hutt Valley,7976,6417,9894,2021-10-31
Wairarapa,689,567,837,2021-10-31
Nelson Marlborough,3620,3174,2115,2021-10-31
West Coast,232,179,282,2021-10-31
Canterbury,10814,8176,12737,2021-10-31
South Canterbury,792,591,837,2021-10-31
Southern,5598,4532,6031,2021-10-31
Overseas / Unknown,338,296,1149,2021-10-31
Total,244009,197188,286681,2021-10-31
