DHB,Dose1,Dose2,Population,Date
Northland,2849,2690,2934,2022-01-08
Waitemata,35063,33811,37573,2022-01-08
Auckland,43208,41591,46866,2022-01-08
Counties Manukau,107159,102955,116498,2022-01-08
Waikato,10172,9792,10682,2022-01-08
Lakes,2133,2032,2286,2022-01-08
Bay of Plenty,4717,4498,3679,2022-01-08
Tairawhiti,1010,965,965,2022-01-08
Taranaki,1268,1198,1270,2022-01-08
Hawkes Bay,6337,6032,5020,2022-01-08
MidCentral,4382,4175,4468,2022-01-08
Whanganui,1195,1142,1381,2022-01-08
Capital and Coast,18054,17359,19177,2022-01-08
Hutt Valley,9272,8881,9894,2022-01-08
Wairarapa,828,796,837,2022-01-08
Nelson Marlborough,4231,4091,2115,2022-01-08
West Coast,281,271,282,2022-01-08
Canterbury,12395,11886,12737,2022-01-08
South Canterbury,962,915,837,2022-01-08
Southern,6517,6258,6031,2022-01-08
Overseas / Unknown,356,335,1149,2022-01-08
New Zealand,272389,261673,286681,2022-01-08
All DHBs to 90%,NA,NA,NA,2022-01-08
