DHB,Dose1,Dose2,Population,Date
Northland,2588,2177,2934,2021-11-20
Waitemata,33455,29793,37573,2021-11-20
Auckland,41364,36927,46866,2021-11-20
Counties Manukau,101698,89919,116498,2021-11-20
Waikato,9607,8386,10682,2021-11-20
Lakes,1971,1682,2286,2021-11-20
Bay of Plenty,4326,3739,3679,2021-11-20
Tairawhiti,932,795,965,2021-11-20
Taranaki,1151,954,1270,2021-11-20
Hawkes Bay,5487,4756,5020,2021-11-20
MidCentral,4041,3447,4468,2021-11-20
Whanganui,1126,957,1381,2021-11-20
Capital and Coast,16650,14384,19177,2021-11-20
Hutt Valley,8438,7383,9894,2021-11-20
Wairarapa,765,642,837,2021-11-20
Nelson Marlborough,3751,3433,2115,2021-11-20
West Coast,256,217,282,2021-11-20
Canterbury,11499,9687,12737,2021-11-20
South Canterbury,833,723,837,2021-11-20
Southern,5930,5124,6031,2021-11-20
Overseas / Unknown,382,354,1149,2021-11-20
New Zealand,256250,225479,286681,2021-11-20
All DHBs to 90%,NA,NA,NA,2021-11-20
