DHB,Dose1,Dose2,Population,Date
Northland,2853,2709,2934,2022-01-12
Waitemata,35237,34077,37573,2022-01-12
Auckland,43332,41824,46866,2022-01-12
Counties Manukau,107529,103668,116498,2022-01-12
Waikato,10219,9849,10682,2022-01-12
Lakes,2140,2047,2286,2022-01-12
Bay of Plenty,4742,4532,3679,2022-01-12
Tairawhiti,1025,987,965,2022-01-12
Taranaki,1270,1209,1270,2022-01-12
Hawkes Bay,6371,6100,5020,2022-01-12
MidCentral,4395,4208,4468,2022-01-12
Whanganui,1199,1151,1381,2022-01-12
Capital and Coast,18112,17470,19177,2022-01-12
Hutt Valley,9319,8983,9894,2022-01-12
Wairarapa,835,801,837,2022-01-12
Nelson Marlborough,4287,4166,2115,2022-01-12
West Coast,281,271,282,2022-01-12
Canterbury,12451,11984,12737,2022-01-12
South Canterbury,966,922,837,2022-01-12
Southern,6539,6302,6031,2022-01-12
Overseas / Unknown,359,338,1149,2022-01-12
New Zealand,273461,263598,286681,2022-01-12
All DHBs to 90%,NA,NA,NA,2022-01-12
