DHB,Dose1,Dose2,Population,Date
Northland,2733,2426,2934,2021-12-08
Waitemata,34410,32013,37573,2021-12-08
Auckland,42531,39516,46866,2021-12-08
Counties Manukau,104900,96947,116498,2021-12-08
Waikato,9984,9166,10682,2021-12-08
Lakes,2093,1885,2286,2021-12-08
Bay of Plenty,4611,4116,3679,2021-12-08
Tairawhiti,995,892,965,2021-12-08
Taranaki,1235,1080,1270,2021-12-08
Hawkes Bay,5888,5271,5020,2021-12-08
MidCentral,4255,3820,4468,2021-12-08
Whanganui,1170,1054,1381,2021-12-08
Capital and Coast,17592,15937,19177,2021-12-08
Hutt Valley,9035,8111,9894,2021-12-08
Wairarapa,813,734,837,2021-12-08
Nelson Marlborough,3936,3663,2115,2021-12-08
West Coast,276,250,282,2021-12-08
Canterbury,12125,10995,12737,2021-12-08
South Canterbury,893,805,837,2021-12-08
Southern,6264,5709,6031,2021-12-08
Overseas / Unknown,369,342,1149,2021-12-08
New Zealand,266108,244732,286681,2021-12-08
All DHBs to 90%,NA,NA,NA,2021-12-08
