DHB,Dose1,Dose2,Population,Date
Northland,2902,2793,2934,2022-02-15
Waitemata,35773,34999,37573,2022-02-15
Auckland,44051,42973,46866,2022-02-15
Counties Manukau,109609,106886,116498,2022-02-15
Waikato,10413,10146,10682,2022-02-15
Lakes,2177,2112,2286,2022-02-15
Bay of Plenty,4834,4706,3679,2022-02-15
Tairawhiti,1049,1026,965,2022-02-15
Taranaki,1297,1266,1270,2022-02-15
Hawkes Bay,7059,6846,5020,2022-02-15
MidCentral,4512,4392,4468,2022-02-15
Whanganui,1245,1204,1381,2022-02-15
Capital and Coast,18412,18020,19177,2022-02-15
Hutt Valley,9505,9273,9894,2022-02-15
Wairarapa,877,852,837,2022-02-15
Nelson Marlborough,4546,4467,2115,2022-02-15
West Coast,284,275,282,2022-02-15
Canterbury,12715,12383,12737,2022-02-15
South Canterbury,981,963,837,2022-02-15
Southern,6759,6608,6031,2022-02-15
Overseas / Unknown,416,393,1149,2022-02-15
New Zealand,279416,272583,286681,2022-02-15
All DHBs to 90%,NA,NA,NA,2022-02-15
