DHB,Dose1,Dose2,Population,Date
Northland,2463,1960,2934,2021-11-09
Waitemata,32740,28000,37573,2021-11-09
Auckland,40408,34508,46866,2021-11-09
Counties Manukau,99378,84320,116498,2021-11-09
Waikato,9362,7844,10682,2021-11-09
Lakes,1882,1558,2286,2021-11-09
Bay of Plenty,4134,3454,3679,2021-11-09
Tairawhiti,911,733,965,2021-11-09
Taranaki,1094,863,1270,2021-11-09
Hawkes Bay,5308,4497,5020,2021-11-09
MidCentral,3893,3158,4468,2021-11-09
Whanganui,1089,897,1381,2021-11-09
Capital and Coast,16015,13398,19177,2021-11-09
Hutt Valley,8164,6927,9894,2021-11-09
Wairarapa,717,588,837,2021-11-09
Nelson Marlborough,3693,3278,2115,2021-11-09
West Coast,240,199,282,2021-11-09
Canterbury,11158,8855,12737,2021-11-09
South Canterbury,818,686,837,2021-11-09
Southern,5761,4802,6031,2021-11-09
Overseas / Unknown,331,304,1149,2021-11-09
New Zealand,249559,210829,286681,2021-11-09
All DHBs to 90%,NA,NA,NA,2021-11-09
