DHB,Dose1,Dose2,Population,Date
Northland,2834,2636,2934,2021-12-29
Waitemata,34930,33444,37573,2021-12-29
Auckland,43090,41169,46866,2021-12-29
Counties Manukau,106629,101558,116498,2021-12-29
Waikato,10134,9662,10682,2021-12-29
Lakes,2121,1995,2286,2021-12-29
Bay of Plenty,4698,4442,3679,2021-12-29
Tairawhiti,1009,954,965,2021-12-29
Taranaki,1259,1181,1270,2021-12-29
Hawkes Bay,6258,5895,5020,2021-12-29
MidCentral,4356,4106,4468,2021-12-29
Whanganui,1198,1130,1381,2021-12-29
Capital and Coast,17931,17095,19177,2021-12-29
Hutt Valley,9238,8730,9894,2021-12-29
Wairarapa,821,781,837,2021-12-29
Nelson Marlborough,4143,3974,2115,2021-12-29
West Coast,281,268,282,2021-12-29
Canterbury,12340,11721,12737,2021-12-29
South Canterbury,959,895,837,2021-12-29
Southern,6452,6143,6031,2021-12-29
Overseas / Unknown,370,348,1149,2021-12-29
New Zealand,271051,258127,286681,2021-12-29
All DHBs to 90%,NA,NA,NA,2021-12-29
