DHB,Dose1,Dose2,Population,Date
Northland,2579,2161,2934,2021-11-19
Waitemata,33358,29522,37573,2021-11-19
Auckland,41212,36569,46866,2021-11-19
Counties Manukau,101342,88877,116498,2021-11-19
Waikato,9587,8349,10682,2021-11-19
Lakes,1966,1673,2286,2021-11-19
Bay of Plenty,4305,3717,3679,2021-11-19
Tairawhiti,929,792,965,2021-11-19
Taranaki,1147,952,1270,2021-11-19
Hawkes Bay,5454,4701,5020,2021-11-19
MidCentral,4026,3427,4468,2021-11-19
Whanganui,1120,955,1381,2021-11-19
Capital and Coast,16525,14167,19177,2021-11-19
Hutt Valley,8404,7333,9894,2021-11-19
Wairarapa,762,636,837,2021-11-19
Nelson Marlborough,3741,3401,2115,2021-11-19
West Coast,256,214,282,2021-11-19
Canterbury,11437,9503,12737,2021-11-19
South Canterbury,833,714,837,2021-11-19
Southern,5915,5095,6031,2021-11-19
Overseas / Unknown,380,349,1149,2021-11-19
New Zealand,255278,223107,286681,2021-11-19
All DHBs to 90%,NA,NA,NA,2021-11-19
