DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2922,2848,1340,2391,2934,2022-04-13
Waitemata,35879,35351,17639,29695,37573,2022-04-13
Auckland,44324,43494,22247,37103,46866,2022-04-13
Counties Manukau,110150,108111,51667,90423,116498,2022-04-13
Waikato,10542,10340,5236,8766,10682,2022-04-13
Lakes,2197,2138,1138,1853,2286,2022-04-13
Bay of Plenty,4953,4863,2225,4211,3679,2022-04-13
Tairawhiti,1074,1050,564,913,965,2022-04-13
Taranaki,1298,1275,620,1042,1270,2022-04-13
Hawkes Bay,7575,7436,3728,6428,5020,2022-04-13
MidCentral,4536,4455,2285,3650,4468,2022-04-13
Whanganui,1254,1221,628,1017,1381,2022-04-13
Capital and Coast,18436,18189,10337,15534,19177,2022-04-13
Hutt Valley,9556,9389,5125,7908,9894,2022-04-13
Wairarapa,904,885,490,760,837,2022-04-13
Nelson Marlborough,4580,4524,2374,4013,2115,2022-04-13
West Coast,277,271,146,214,282,2022-04-13
Canterbury,12835,12619,6418,10532,12737,2022-04-13
South Canterbury,1014,1001,445,846,837,2022-04-13
Southern,7019,6917,3562,5858,6031,2022-04-13
Overseas / Unknown,407,393,184,339,1149,2022-04-13
New Zealand,281732,276770,138398,233496,286681,2022-04-13
