DHB,Dose1,Dose2,Population,Date
Northland,2845,2683,2934,2022-01-06
Waitemata,35028,33732,37573,2022-01-06
Auckland,43172,41493,46866,2022-01-06
Counties Manukau,107015,102579,116498,2022-01-06
Waikato,10169,9767,10682,2022-01-06
Lakes,2128,2024,2286,2022-01-06
Bay of Plenty,4705,4490,3679,2022-01-06
Tairawhiti,1010,960,965,2022-01-06
Taranaki,1267,1193,1270,2022-01-06
Hawkes Bay,6316,5996,5020,2022-01-06
MidCentral,4374,4152,4468,2022-01-06
Whanganui,1195,1138,1381,2022-01-06
Capital and Coast,18018,17302,19177,2022-01-06
Hutt Valley,9258,8839,9894,2022-01-06
Wairarapa,826,793,837,2022-01-06
Nelson Marlborough,4222,4076,2115,2022-01-06
West Coast,282,270,282,2022-01-06
Canterbury,12382,11849,12737,2022-01-06
South Canterbury,959,912,837,2022-01-06
Southern,6498,6230,6031,2022-01-06
Overseas / Unknown,354,333,1149,2022-01-06
New Zealand,272023,260811,286681,2022-01-06
All DHBs to 90%,NA,NA,NA,2022-01-06
