DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2901,2797,977,1950,2934,2022-02-17
Waitemata,35781,35036,13074,25880,37573,2022-02-17
Auckland,44077,43030,16492,32513,46866,2022-02-17
Counties Manukau,109708,107041,37850,78288,116498,2022-02-17
Waikato,10428,10163,3881,7429,10682,2022-02-17
Lakes,2177,2114,842,1509,2286,2022-02-17
Bay of Plenty,4840,4714,1612,3474,3679,2022-02-17
Tairawhiti,1049,1027,391,758,965,2022-02-17
Taranaki,1298,1269,418,823,1270,2022-02-17
Hawkes Bay,7091,6890,2543,5033,5020,2022-02-17
MidCentral,4515,4399,1627,3016,4468,2022-02-17
Whanganui,1246,1206,454,844,1381,2022-02-17
Capital and Coast,18420,18029,7668,12728,19177,2022-02-17
Hutt Valley,9510,9284,3864,6480,9894,2022-02-17
Wairarapa,879,855,338,604,837,2022-02-17
Nelson Marlborough,4552,4473,1771,3521,2115,2022-02-17
West Coast,283,276,103,186,282,2022-02-17
Canterbury,12733,12422,4393,8395,12737,2022-02-17
South Canterbury,982,964,253,669,837,2022-02-17
Southern,6770,6617,2479,4669,6031,2022-02-17
Overseas / Unknown,417,394,149,309,1149,2022-02-17
New Zealand,279657,273000,101179,199078,286681,2022-02-17
