DHB,Dose1,Dose2,Population,Date
Northland,2809,2556,2934,2021-12-17
Waitemata,34741,32815,37573,2021-12-17
Auckland,42878,40417,46866,2021-12-17
Counties Manukau,105956,99516,116498,2021-12-17
Waikato,10094,9464,10682,2021-12-17
Lakes,2112,1952,2286,2021-12-17
Bay of Plenty,4663,4297,3679,2021-12-17
Tairawhiti,1005,928,965,2021-12-17
Taranaki,1255,1131,1270,2021-12-17
Hawkes Bay,6074,5567,5020,2021-12-17
MidCentral,4321,3980,4468,2021-12-17
Whanganui,1185,1098,1381,2021-12-17
Capital and Coast,17820,16559,19177,2021-12-17
Hutt Valley,9162,8446,9894,2021-12-17
Wairarapa,815,768,837,2021-12-17
Nelson Marlborough,4089,3866,2115,2021-12-17
West Coast,278,258,282,2021-12-17
Canterbury,12263,11358,12737,2021-12-17
South Canterbury,943,864,837,2021-12-17
Southern,6393,5965,6031,2021-12-17
Overseas / Unknown,367,345,1149,2021-12-17
New Zealand,269223,252150,286681,2021-12-17
All DHBs to 90%,NA,NA,NA,2021-12-17
