DHB,Dose1,Dose2,Population,Date
Northland,2696,2332,2934,2021-12-02
Waitemata,34066,31158,37573,2021-12-02
Auckland,42130,38536,46866,2021-12-02
Counties Manukau,103904,94663,116498,2021-12-02
Waikato,9860,8883,10682,2021-12-02
Lakes,2050,1805,2286,2021-12-02
Bay of Plenty,4533,3976,3679,2021-12-02
Tairawhiti,970,857,965,2021-12-02
Taranaki,1207,1040,1270,2021-12-02
Hawkes Bay,5767,5086,5020,2021-12-02
MidCentral,4180,3669,4468,2021-12-02
Whanganui,1155,1029,1381,2021-12-02
Capital and Coast,17296,15321,19177,2021-12-02
Hutt Valley,8849,7863,9894,2021-12-02
Wairarapa,805,705,837,2021-12-02
Nelson Marlborough,3838,3532,2115,2021-12-02
West Coast,273,238,282,2021-12-02
Canterbury,11888,10554,12737,2021-12-02
South Canterbury,868,772,837,2021-12-02
Southern,6128,5448,6031,2021-12-02
Overseas / Unknown,376,352,1149,2021-12-02
New Zealand,262839,237819,286681,2021-12-02
All DHBs to 90%,NA,NA,NA,2021-12-02
