DHB,Dose1,Dose2,Population,Date
Northland,2865,2755,2934,2022-01-24
Waitemata,35485,34462,37573,2022-01-24
Auckland,43694,42357,46866,2022-01-24
Counties Manukau,108437,105062,116498,2022-01-24
Waikato,10290,9978,10682,2022-01-24
Lakes,2159,2081,2286,2022-01-24
Bay of Plenty,4766,4589,3679,2022-01-24
Tairawhiti,1028,996,965,2022-01-24
Taranaki,1279,1235,1270,2022-01-24
Hawkes Bay,6545,6304,5020,2022-01-24
MidCentral,4437,4280,4468,2022-01-24
Whanganui,1227,1179,1381,2022-01-24
Capital and Coast,18205,17678,19177,2022-01-24
Hutt Valley,9393,9123,9894,2022-01-24
Wairarapa,862,836,837,2022-01-24
Nelson Marlborough,4429,4326,2115,2022-01-24
West Coast,283,273,282,2022-01-24
Canterbury,12541,12143,12737,2022-01-24
South Canterbury,976,946,837,2022-01-24
Southern,6599,6385,6031,2022-01-24
Overseas / Unknown,366,345,1149,2022-01-24
New Zealand,275866,267333,286681,2022-01-24
All DHBs to 90%,NA,NA,NA,2022-01-24
