DHB,Dose1,Dose2,Population,Date
Northland,2572,2150,2934,2021-11-18
Waitemata,33278,29351,37573,2021-11-18
Auckland,41144,36398,46866,2021-11-18
Counties Manukau,101197,88524,116498,2021-11-18
Waikato,9559,8298,10682,2021-11-18
Lakes,1966,1660,2286,2021-11-18
Bay of Plenty,4282,3699,3679,2021-11-18
Tairawhiti,926,788,965,2021-11-18
Taranaki,1142,940,1270,2021-11-18
Hawkes Bay,5435,4681,5020,2021-11-18
MidCentral,4008,3399,4468,2021-11-18
Whanganui,1114,949,1381,2021-11-18
Capital and Coast,16466,14093,19177,2021-11-18
Hutt Valley,8388,7303,9894,2021-11-18
Wairarapa,761,634,837,2021-11-18
Nelson Marlborough,3737,3389,2115,2021-11-18
West Coast,255,211,282,2021-11-18
Canterbury,11416,9410,12737,2021-11-18
South Canterbury,833,706,837,2021-11-18
Southern,5902,5065,6031,2021-11-18
Overseas / Unknown,381,350,1149,2021-11-18
New Zealand,254762,221998,286681,2021-11-18
All DHBs to 90%,NA,NA,NA,2021-11-18
