DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,2916,2822,1125,2039,2934,2022-02-26
Waitemata,35866,35186,15269,26755,37573,2022-02-26
Auckland,44178,43190,19295,33513,46866,2022-02-26
Counties Manukau,110005,107542,44748,80846,116498,2022-02-26
Waikato,10496,10248,4499,7714,10682,2022-02-26
Lakes,2182,2123,954,1573,2286,2022-02-26
Bay of Plenty,4862,4748,1952,3651,3679,2022-02-26
Tairawhiti,1064,1042,448,799,965,2022-02-26
Taranaki,1300,1271,514,870,1270,2022-02-26
Hawkes Bay,7207,7042,2999,5315,5020,2022-02-26
MidCentral,4514,4417,1948,3135,4468,2022-02-26
Whanganui,1250,1209,531,867,1381,2022-02-26
Capital and Coast,18487,18149,9121,13332,19177,2022-02-26
Hutt Valley,9532,9326,4443,6766,9894,2022-02-26
Wairarapa,893,869,402,637,837,2022-02-26
Nelson Marlborough,4627,4556,2051,3639,2115,2022-02-26
West Coast,285,279,128,196,282,2022-02-26
Canterbury,12777,12507,5358,8971,12737,2022-02-26
South Canterbury,990,974,338,692,837,2022-02-26
Southern,6799,6650,2918,4865,6031,2022-02-26
Overseas / Unknown,425,406,162,320,1149,2022-02-26
New Zealand,280655,274556,119203,206495,286681,2022-02-26
