DHB,Dose1,Dose2,Population,Date
Northland,2344,1677,2934,2021-10-27
Waitemata,31767,24964,37573,2021-10-27
Auckland,39079,30984,46866,2021-10-27
Counties Manukau,95671,75414,116498,2021-10-27
Waikato,9043,6997,10682,2021-10-27
Lakes,1790,1375,2286,2021-10-27
Bay of Plenty,3974,3012,3679,2021-10-27
Tairawhiti,854,650,965,2021-10-27
Taranaki,1035,759,1270,2021-10-27
Hawkes Bay,5020,4058,5020,2021-10-27
MidCentral,3735,2836,4468,2021-10-27
Whanganui,1033,801,1381,2021-10-27
Capital and Coast,15474,12282,19177,2021-10-27
Hutt Valley,7860,6120,9894,2021-10-27
Wairarapa,680,537,837,2021-10-27
Nelson Marlborough,3586,3115,2115,2021-10-27
West Coast,225,171,282,2021-10-27
Canterbury,10341,7625,12737,2021-10-27
South Canterbury,767,549,837,2021-10-27
Southern,5493,4307,6031,2021-10-27
Overseas / Unknown,338,289,1149,2021-10-27
Total,240109,188522,286681,2021-10-27
