DHB,Dose1,Dose2,Population,Date
Northland,2903,2795,2934,2022-02-11
Waitemata,35730,34908,37573,2022-02-11
Auckland,43986,42856,46866,2022-02-11
Counties Manukau,109471,106626,116498,2022-02-11
Waikato,10400,10131,10682,2022-02-11
Lakes,2172,2105,2286,2022-02-11
Bay of Plenty,4830,4689,3679,2022-02-11
Tairawhiti,1044,1017,965,2022-02-11
Taranaki,1293,1264,1270,2022-02-11
Hawkes Bay,6908,6692,5020,2022-02-11
MidCentral,4502,4377,4468,2022-02-11
Whanganui,1246,1200,1381,2022-02-11
Capital and Coast,18392,17988,19177,2022-02-11
Hutt Valley,9496,9264,9894,2022-02-11
Wairarapa,879,852,837,2022-02-11
Nelson Marlborough,4547,4465,2115,2022-02-11
West Coast,285,276,282,2022-02-11
Canterbury,12686,12349,12737,2022-02-11
South Canterbury,982,962,837,2022-02-11
Southern,6739,6582,6031,2022-02-11
Overseas / Unknown,410,387,1149,2022-02-11
New Zealand,278901,271785,286681,2022-02-11
All DHBs to 90%,NA,NA,NA,2022-02-11
