DHB,Dose1,Dose2,Population,Date
Northland,2835,2634,2934,2021-12-28
Waitemata,34920,33374,37573,2021-12-28
Auckland,43070,41090,46866,2021-12-28
Counties Manukau,106574,101332,116498,2021-12-28
Waikato,10130,9639,10682,2021-12-28
Lakes,2121,1993,2286,2021-12-28
Bay of Plenty,4692,4422,3679,2021-12-28
Tairawhiti,1007,949,965,2021-12-28
Taranaki,1258,1174,1270,2021-12-28
Hawkes Bay,6252,5873,5020,2021-12-28
MidCentral,4351,4086,4468,2021-12-28
Whanganui,1198,1121,1381,2021-12-28
Capital and Coast,17913,17036,19177,2021-12-28
Hutt Valley,9224,8698,9894,2021-12-28
Wairarapa,820,782,837,2021-12-28
Nelson Marlborough,4143,3968,2115,2021-12-28
West Coast,281,267,282,2021-12-28
Canterbury,12327,11667,12737,2021-12-28
South Canterbury,958,893,837,2021-12-28
Southern,6450,6126,6031,2021-12-28
Overseas / Unknown,368,346,1149,2021-12-28
New Zealand,270892,257470,286681,2021-12-28
All DHBs to 90%,NA,NA,NA,2021-12-28
