DHB,Dose1,Dose2,Population,Date
Northland,2407,1818,2934,2021-11-03
Waitemata,32332,26695,37573,2021-11-03
Auckland,39877,33020,46866,2021-11-03
Counties Manukau,97908,80389,116498,2021-11-03
Waikato,9249,7513,10682,2021-11-03
Lakes,1842,1475,2286,2021-11-03
Bay of Plenty,4078,3252,3679,2021-11-03
Tairawhiti,885,687,965,2021-11-03
Taranaki,1072,821,1270,2021-11-03
Hawkes Bay,5175,4269,5020,2021-11-03
MidCentral,3818,3000,4468,2021-11-03
Whanganui,1057,853,1381,2021-11-03
Capital and Coast,15815,12905,19177,2021-11-03
Hutt Valley,8042,6549,9894,2021-11-03
Wairarapa,701,576,837,2021-11-03
Nelson Marlborough,3647,3201,2115,2021-11-03
West Coast,235,184,282,2021-11-03
Canterbury,10951,8392,12737,2021-11-03
South Canterbury,808,647,837,2021-11-03
Southern,5680,4644,6031,2021-11-03
Overseas / Unknown,336,301,1149,2021-11-03
Total,245915,201191,286681,2021-11-03
