DHB,Dose1,Dose2,Population,Date
Northland,2899,2789,2934,2022-02-09
Waitemata,35711,34873,37573,2022-02-09
Auckland,43944,42785,46866,2022-02-09
Counties Manukau,109365,106453,116498,2022-02-09
Waikato,10397,10119,10682,2022-02-09
Lakes,2164,2098,2286,2022-02-09
Bay of Plenty,4823,4677,3679,2022-02-09
Tairawhiti,1044,1015,965,2022-02-09
Taranaki,1291,1260,1270,2022-02-09
Hawkes Bay,6869,6635,5020,2022-02-09
MidCentral,4497,4369,4468,2022-02-09
Whanganui,1246,1200,1381,2022-02-09
Capital and Coast,18361,17952,19177,2022-02-09
Hutt Valley,9483,9249,9894,2022-02-09
Wairarapa,877,852,837,2022-02-09
Nelson Marlborough,4525,4446,2115,2022-02-09
West Coast,285,275,282,2022-02-09
Canterbury,12662,12315,12737,2022-02-09
South Canterbury,979,958,837,2022-02-09
Southern,6735,6572,6031,2022-02-09
Overseas / Unknown,392,371,1149,2022-02-09
New Zealand,278549,271263,286681,2022-02-09
All DHBs to 90%,NA,NA,NA,2022-02-09
