DHB,Dose1,Dose2,Population,Date
Northland,2824,2602,2934,2021-12-21
Waitemata,34850,33109,37573,2021-12-21
Auckland,42998,40808,46866,2021-12-21
Counties Manukau,106366,100662,116498,2021-12-21
Waikato,10100,9532,10682,2021-12-21
Lakes,2114,1973,2286,2021-12-21
Bay of Plenty,4680,4371,3679,2021-12-21
Tairawhiti,1005,938,965,2021-12-21
Taranaki,1255,1156,1270,2021-12-21
Hawkes Bay,6142,5704,5020,2021-12-21
MidCentral,4336,4028,4468,2021-12-21
Whanganui,1195,1109,1381,2021-12-21
Capital and Coast,17864,16739,19177,2021-12-21
Hutt Valley,9194,8561,9894,2021-12-21
Wairarapa,818,777,837,2021-12-21
Nelson Marlborough,4112,3905,2115,2021-12-21
West Coast,280,260,282,2021-12-21
Canterbury,12301,11500,12737,2021-12-21
South Canterbury,952,881,837,2021-12-21
Southern,6420,6049,6031,2021-12-21
Overseas / Unknown,367,346,1149,2021-12-21
New Zealand,270173,255010,286681,2021-12-21
All DHBs to 90%,NA,NA,NA,2021-12-21
