DHB,Dose1,Dose2,Population,Date
Northland,2807,2541,2934,2021-12-16
Waitemata,34720,32738,37573,2021-12-16
Auckland,42852,40341,46866,2021-12-16
Counties Manukau,105882,99324,116498,2021-12-16
Waikato,10079,9420,10682,2021-12-16
Lakes,2112,1943,2286,2021-12-16
Bay of Plenty,4658,4268,3679,2021-12-16
Tairawhiti,1003,922,965,2021-12-16
Taranaki,1254,1124,1270,2021-12-16
Hawkes Bay,6042,5513,5020,2021-12-16
MidCentral,4313,3966,4468,2021-12-16
Whanganui,1186,1093,1381,2021-12-16
Capital and Coast,17801,16500,19177,2021-12-16
Hutt Valley,9155,8427,9894,2021-12-16
Wairarapa,814,765,837,2021-12-16
Nelson Marlborough,4081,3855,2115,2021-12-16
West Coast,278,255,282,2021-12-16
Canterbury,12246,11316,12737,2021-12-16
South Canterbury,920,843,837,2021-12-16
Southern,6388,5947,6031,2021-12-16
Overseas / Unknown,369,346,1149,2021-12-16
New Zealand,268960,251447,286681,2021-12-16
All DHBs to 90%,NA,NA,NA,2021-12-16
