DHB,Dose1,Dose2,Population,Date
Northland,2783,2508,2934,2021-12-14
Waitemata,34657,32559,37573,2021-12-14
Auckland,42819,40182,46866,2021-12-14
Counties Manukau,105677,98819,116498,2021-12-14
Waikato,10060,9343,10682,2021-12-14
Lakes,2109,1927,2286,2021-12-14
Bay of Plenty,4637,4229,3679,2021-12-14
Tairawhiti,1000,913,965,2021-12-14
Taranaki,1252,1109,1270,2021-12-14
Hawkes Bay,6015,5463,5020,2021-12-14
MidCentral,4302,3925,4468,2021-12-14
Whanganui,1183,1082,1381,2021-12-14
Capital and Coast,17752,16355,19177,2021-12-14
Hutt Valley,9127,8340,9894,2021-12-14
Wairarapa,812,755,837,2021-12-14
Nelson Marlborough,3981,3737,2115,2021-12-14
West Coast,278,255,282,2021-12-14
Canterbury,12219,11239,12737,2021-12-14
South Canterbury,905,819,837,2021-12-14
Southern,6359,5877,6031,2021-12-14
Overseas / Unknown,376,348,1149,2021-12-14
New Zealand,268303,249784,286681,2021-12-14
All DHBs to 90%,NA,NA,NA,2021-12-14
