DHB,Dose1,Dose2,Population,Date
Northland,2883,2778,2934,2022-02-06
Waitemata,35688,34819,37573,2022-02-06
Auckland,43900,42726,46866,2022-02-06
Counties Manukau,109260,106275,116498,2022-02-06
Waikato,10385,10101,10682,2022-02-06
Lakes,2163,2096,2286,2022-02-06
Bay of Plenty,4807,4660,3679,2022-02-06
Tairawhiti,1040,1011,965,2022-02-06
Taranaki,1285,1250,1270,2022-02-06
Hawkes Bay,6825,6587,5020,2022-02-06
MidCentral,4491,4349,4468,2022-02-06
Whanganui,1242,1194,1381,2022-02-06
Capital and Coast,18350,17928,19177,2022-02-06
Hutt Valley,9473,9235,9894,2022-02-06
Wairarapa,876,851,837,2022-02-06
Nelson Marlborough,4518,4439,2115,2022-02-06
West Coast,286,276,282,2022-02-06
Canterbury,12642,12281,12737,2022-02-06
South Canterbury,980,960,837,2022-02-06
Southern,6722,6550,6031,2022-02-06
Overseas / Unknown,383,361,1149,2022-02-06
New Zealand,278199,270727,286681,2022-02-06
All DHBs to 90%,NA,NA,NA,2022-02-06
