DHB,Dose1,Dose2,Population,Date
Northland,2812,2575,2934,2021-12-18
Waitemata,34777,32937,37573,2021-12-18
Auckland,42931,40591,46866,2021-12-18
Counties Manukau,106112,100028,116498,2021-12-18
Waikato,10098,9485,10682,2021-12-18
Lakes,2113,1962,2286,2021-12-18
Bay of Plenty,4662,4311,3679,2021-12-18
Tairawhiti,1004,929,965,2021-12-18
Taranaki,1257,1141,1270,2021-12-18
Hawkes Bay,6085,5596,5020,2021-12-18
MidCentral,4323,3996,4468,2021-12-18
Whanganui,1186,1100,1381,2021-12-18
Capital and Coast,17837,16640,19177,2021-12-18
Hutt Valley,9171,8474,9894,2021-12-18
Wairarapa,815,770,837,2021-12-18
Nelson Marlborough,4103,3887,2115,2021-12-18
West Coast,279,260,282,2021-12-18
Canterbury,12272,11398,12737,2021-12-18
South Canterbury,943,865,837,2021-12-18
Southern,6401,5994,6031,2021-12-18
Overseas / Unknown,366,345,1149,2021-12-18
New Zealand,269547,253284,286681,2021-12-18
All DHBs to 90%,NA,NA,NA,2021-12-18
