DHB,Dose1,Dose2,Population,Date
Northland,2871,2770,2934,2022-01-29
Waitemata,35585,34640,37573,2022-01-29
Auckland,43810,42519,46866,2022-01-29
Counties Manukau,108813,105571,116498,2022-01-29
Waikato,10346,10028,10682,2022-01-29
Lakes,2164,2093,2286,2022-01-29
Bay of Plenty,4794,4625,3679,2022-01-29
Tairawhiti,1031,1001,965,2022-01-29
Taranaki,1282,1246,1270,2022-01-29
Hawkes Bay,6747,6509,5020,2022-01-29
MidCentral,4448,4303,4468,2022-01-29
Whanganui,1230,1182,1381,2022-01-29
Capital and Coast,18287,17802,19177,2022-01-29
Hutt Valley,9420,9165,9894,2022-01-29
Wairarapa,867,843,837,2022-01-29
Nelson Marlborough,4479,4394,2115,2022-01-29
West Coast,287,276,282,2022-01-29
Canterbury,12603,12219,12737,2022-01-29
South Canterbury,980,951,837,2022-01-29
Southern,6652,6453,6031,2022-01-29
Overseas / Unknown,382,361,1149,2022-01-29
New Zealand,277078,268951,286681,2022-01-29
All DHBs to 90%,NA,NA,NA,2022-01-29
