DHB,Dose1,Dose2,Population,Date
Northland,2612,2230,2934,2021-11-24
Waitemata,33572,30136,37573,2021-11-24
Auckland,41505,37296,46866,2021-11-24
Counties Manukau,102045,90864,116498,2021-11-24
Waikato,9634,8488,10682,2021-11-24
Lakes,1993,1707,2286,2021-11-24
Bay of Plenty,4383,3816,3679,2021-11-24
Tairawhiti,943,812,965,2021-11-24
Taranaki,1161,973,1270,2021-11-24
Hawkes Bay,5553,4847,5020,2021-11-24
MidCentral,4062,3494,4468,2021-11-24
Whanganui,1133,969,1381,2021-11-24
Capital and Coast,16774,14595,19177,2021-11-24
Hutt Valley,8572,7533,9894,2021-11-24
Wairarapa,769,650,837,2021-11-24
Nelson Marlborough,3723,3437,2115,2021-11-24
West Coast,260,222,282,2021-11-24
Canterbury,11577,9937,12737,2021-11-24
South Canterbury,843,731,837,2021-11-24
Southern,5965,5202,6031,2021-11-24
Overseas / Unknown,367,341,1149,2021-11-24
New Zealand,257446,228280,286681,2021-11-24
All DHBs to 90%,NA,NA,NA,2021-11-24
