DHB,Dose1,Dose2,Population,Date
Northland,2855,2723,2934,2022-01-14
Waitemata,35295,34165,37573,2022-01-14
Auckland,43458,41975,46866,2022-01-14
Counties Manukau,107796,104066,116498,2022-01-14
Waikato,10249,9896,10682,2022-01-14
Lakes,2144,2052,2286,2022-01-14
Bay of Plenty,4754,4547,3679,2022-01-14
Tairawhiti,1023,986,965,2022-01-14
Taranaki,1273,1219,1270,2022-01-14
Hawkes Bay,6416,6155,5020,2022-01-14
MidCentral,4404,4230,4468,2022-01-14
Whanganui,1203,1160,1381,2022-01-14
Capital and Coast,18146,17535,19177,2022-01-14
Hutt Valley,9345,9036,9894,2022-01-14
Wairarapa,858,829,837,2022-01-14
Nelson Marlborough,4325,4212,2115,2022-01-14
West Coast,282,273,282,2022-01-14
Canterbury,12473,12024,12737,2022-01-14
South Canterbury,968,930,837,2022-01-14
Southern,6556,6327,6031,2022-01-14
Overseas / Unknown,361,340,1149,2022-01-14
New Zealand,274184,264680,286681,2022-01-14
All DHBs to 90%,NA,NA,NA,2022-01-14
